part_number,product_model,customer,system_quantity,csv_current_qty,difference_quantity,applied_initial_quantity,current_before_recalc,entries_since_period_start,exits_since_period_start,return_entries_since_period_start,return_losses_since_period_start,new_current_quantity,status
EBR76683902,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683903,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683906,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683907,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683909,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683911,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683912,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683913,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683914,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683915,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683916,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683917,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR76683918,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042513,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042519,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042521,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042522,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042527,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042539,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042543,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042544,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77042545,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77678704,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77678707,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77678709,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77678710,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR77678901,pending,LG,-3540,15294,18834,15294,-4500,0,960,0,0,14334,diferencia
EBR78249601,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR78931702,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR78931708,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79329401,SABER,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79329402,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79329404,SABER,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79344204,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79344230,2ND 10K 100V,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79344234,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79344235,2ND 10K,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79344238,OMEGA 6,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79649219,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR79649220,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80757404,QUANTUM-T,LG,0,16,16,16,0,0,0,0,0,16,diferencia
EBR80757410,QUANTUM-T,LG,0,20,20,20,0,0,0,0,0,20,diferencia
EBR80757411,QUANTUM-T,LG,0,44,44,44,0,0,0,0,0,44,diferencia
EBR80757412,QUANTUM-T,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80757413,QUANTUM-T,LG,0,24,24,24,0,0,0,0,0,24,diferencia
EBR80757414,QUANTUM-T,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80757415,QUANTUM-T,LG,0,126,126,126,0,0,0,0,0,126,diferencia
EBR80757417,QUANTUM-T,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80757418,QUANTUM-T,LG,0,10,10,10,0,0,0,0,0,10,diferencia
EBR80757421,QUANTUM-T,LG,-576,531,1107,531,-1005,2190,2880,262,1,102,diferencia
EBR80757422,QUANTUM-T,LG,-680,360,1040,360,-1000,246,594,36,8,40,diferencia
EBR80757423,QUANTUM-T,LG,0,61,61,61,0,0,0,0,0,61,diferencia
EBR80757424,QUANTUM-T,LG,0,20,20,20,0,0,0,0,0,20,diferencia
EBR80757425,QUANTUM-T,LG,0,58,58,58,0,0,0,0,0,58,diferencia
EBR80757427,QUANTUM-T,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80757429,QUANTUM-T,LG,0,31,31,31,0,0,0,0,0,31,diferencia
EBR80757431,pending,LG,-385,205,590,205,-556,9,180,0,0,34,diferencia
EBR80757432,Quantum-T 20,LG,-452,109,561,109,-436,3326,3386,92,16,125,diferencia
EBR80757438,pending,LG,1,0,-1,0,10,19,10,0,0,9,diferencia
EBR80860802,19K SANMARTIN MM EXTRA E-MICOM REED BMG089NHMV 100V,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80860803,19K SANMARTIN MM I-MICOM REED BMG089NHMV 100V,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80860804,19K SANMARTIN MM EXTRA E-MICOM REED BMG089NHMV 200V,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80860805,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80860807,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977511,B-VEYRON,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977518,B-VEYRON,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977519,NULL,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977520,BENTLEY,LG,0,91,91,91,0,0,0,0,0,91,diferencia
EBR80977522,BENTLEY DIRECT PWM 200V,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977523,pending,LG,0,1,1,1,0,0,0,0,0,1,diferencia
EBR80977527,B-VEYRON,LG,0,13,13,13,0,0,0,0,0,13,diferencia
EBR80977528,BENTLEY DIERCT PWM,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977529,B-VEYRON,LG,0,39,39,39,0,0,0,0,0,39,diferencia
EBR80977530,NULL,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977533,pending,LG,0,8,8,8,0,0,0,0,0,8,diferencia
EBR80977534,pending,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977536,pending,LG,0,3,3,3,0,0,0,0,0,3,diferencia
EBR80977538,B-VEYRON,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR80977541,B-VEYRON,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182754,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182755,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182756,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182757,RAPTOR,LG,0,15,15,15,0,0,0,0,0,15,diferencia
EBR81182758,RAPTOR,LG,0,21,21,21,0,0,0,0,0,21,diferencia
EBR81182766,QUANTUM-B,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182767,QUANTUM-B,LG,0,4,4,4,0,0,0,0,0,4,diferencia
EBR81182769,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182770,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182779,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182781,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182782,RAPTOR,LG,0,5,5,5,0,0,0,0,0,5,diferencia
EBR81182783,RAPTOR,LG,0,2,2,2,0,0,0,0,0,2,diferencia
EBR81182784,RAPTOR,LG,0,20,20,20,0,0,0,0,0,20,diferencia
EBR81182785,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
EBR81182787,RAPTOR,LG,0,0,0,0,0,0,0,0,0,0,igual
