id,return_folio,inventory_id,catalog_id,part_number,return_quantity,loss_quantity,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reason,remarks,registered_by,movement_at,created_at
103,EMB-RET-20260504-185518-881,95,95,EBR87463714,15,15,-85,-85,pending,pending,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:55:18,2026-05-05 00:55:18
104,EMB-RET-20260504-185531-178,147,147,EBR83845048,15,15,-24,-24,MAJESTY,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:55:31,2026-05-05 00:55:31
105,EMB-RET-20260504-185551-481,17,17,EBR30299362,10,10,-76,-76,RAPTOR,PCB,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:55:51,2026-05-05 00:55:51
106,EMB-RET-20260504-185604-192,570,570,ACQ91482496,9,9,-499,-499,pending,pending,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:56:04,2026-05-05 00:56:04
107,EMB-RET-20260504-185703-181,573,573,ACQ91482499,6,6,28,28,pending,pending,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:57:03,2026-05-05 00:57:03
108,EMB-RET-20260504-185724-363,158,158,ABQ74229141,11,11,-79,-79,Mal Instaview Only glass PNM STS F+I/M,Case Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:57:24,2026-05-05 00:57:24
109,EMB-RET-20260504-185736-796,157,157,ABQ74229140,5,5,48,48,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:57:36,2026-05-05 00:57:36
110,EMB-RET-20260504-185746-874,160,160,ABQ74229143,11,11,74,74,MAJESTY,Case Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:57:46,2026-05-05 00:57:46
111,EMB-RET-20260504-185757-760,153,153,ABQ74229132,15,15,-104,-104,17 Mal Basic Ecuador,Case Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:57:57,2026-05-05 00:57:57
112,EMB-RET-20260504-185810-650,154,154,ABQ74229133,29,29,11,11,Mal Basic Disruptive Mexico,Case Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:58:10,2026-05-05 00:58:10
113,EMB-RET-20260504-185829-381,133,133,ABQ75822467,1,1,-1491,-1491,RAPTOR,Case Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:58:29,2026-05-05 00:58:29
114,EMB-RET-20260504-185843-564,302,302,ACQ91411409,27,27,-373,-373,RAPTOR,Display,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:58:43,2026-05-05 00:58:43
115,EMB-RET-20260504-185856-375,142,142,ABQ30226610,9,9,68,68,pending,pending,LG,pending,,Exceso / Salida retorno,,Rubi Garcia,2026-05-04 18:58:56,2026-05-05 00:58:56
116,EMB-RET-20260504-190045-996,406,406,EBR23966211,14,14,-1085,-1085,VF3_W_USA,NULL,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:00:45,2026-05-05 01:00:45
117,EMB-RET-20260504-190100-227,405,405,EBR23966210,5,5,30,30,VF1_Better_B_DI_100V,PCB MAIN,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:01:00,2026-05-05 01:01:00
118,EMB-RET-20260504-190113-729,74,74,EBR37437078,3,3,-595,-595,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:01:13,2026-05-05 01:01:13
119,EMB-RET-20260504-190127-861,75,75,EBR37437079,1,1,-447,-447,24 VS4M G P DUAL I/MAKER AMERICA,NULL,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:01:27,2026-05-05 01:01:27
120,EMB-RET-20260504-190140-378,408,408,EBR23966213,1,1,-276,-276,VF3_Better_L_Single_USA,NULL,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:01:40,2026-05-05 01:01:40
121,EMB-RET-20260504-190153-989,153,153,ABQ74229132,1,1,-104,-104,17 Mal Basic Ecuador,Case Display,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:01:53,2026-05-05 01:01:53
122,EMB-RET-20260504-190207-349,157,157,ABQ74229140,2,2,48,48,Mal Instaview Only glass Mexico STS,Case Display,LG,pending,,OS&D / Salida retorno,,Rubi Garcia,2026-05-04 19:02:07,2026-05-05 01:02:07
