id,entry_folio,inventory_id,catalog_id,part_number,quantity,available_quantity,is_fifo_layer_only,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reference_code,batch_no,notes,registered_by,movement_at,created_at
832,EMB-ENT-20260507-164539-699,142,142,ABQ30226610,120,120,0,-833,-713,pending,pending,LG,pending,SIN-UBICACION,ABQ30226610,,QR: ABQ30226610 | Qty registrada: 120,Braulio Meza,2026-05-07 10:45:35,2026-05-07 16:45:39
833,EMB-ENT-20260507-172036-406,409,409,EBR23966214,60,41,0,13,73,pending,pending,LG,pending,SIN-UBICACION,EBR23966214,,QR: EBR23966214 | Qty registrada: 60,Braulio Meza,2026-05-07 11:20:35,2026-05-07 17:20:36
834,EMB-ENT-20260507-173305-267,272,272,EAD00576610,160,160,0,3332,3492,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 160,Sergio Torres,2026-05-07 11:33:03,2026-05-07 17:33:05
835,EMB-ENT-20260507-191124-571,88,88,EBR80757432,520,8,0,-512,8,Quantum-T 20,PCB,LG,pending,SIN-UBICACION,EBR80757432,,QR: EBR80757432 | Qty registrada: 520,Sergio Torres,2026-05-07 13:11:22,2026-05-07 19:11:24
836,EMB-ENT-20260507-191801-795,74,74,EBR37437078,60,60,0,-591,-531,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 60,Rubi Garcia,2026-05-07 13:18:00,2026-05-07 19:18:01
837,EMB-ENT-20260507-193411-441,388,388,EBR24212302,340,340,0,584,924,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212302,,QR: EBR24212302 | Qty registrada: 340,Sergio Torres,2026-05-07 13:34:09,2026-05-07 19:34:11
838,EMB-ENT-20260507-194614-279,272,272,EAD00576610,22,22,0,3492,3514,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 22,Sergio Torres,2026-05-07 13:46:13,2026-05-07 19:46:14
839,EMB-ENT-20260507-194622-457,243,243,EAD65948153,40,40,0,74,114,pending,pending,LG,pending,SIN-UBICACION,EAD65948153,,QR: EAD65948153 | Qty registrada: 40,Sergio Torres,2026-05-07 13:46:20,2026-05-07 19:46:22
840,EMB-ENT-20260507-194632-323,243,243,EAD65948153,120,120,0,114,234,pending,pending,LG,pending,SIN-UBICACION,EAD65948153,,QR: EAD65948153 | Qty registrada: 120,Sergio Torres,2026-05-07 13:46:31,2026-05-07 19:46:32
841,EMB-ENT-20260507-194641-364,243,243,EAD65948153,20,20,0,234,254,pending,pending,LG,pending,SIN-UBICACION,EAD65948153,,QR: EAD65948153 | Qty registrada: 20,Sergio Torres,2026-05-07 13:46:40,2026-05-07 19:46:42
